Year,GDP_Per_Capita_USD,Population_Million,S_out,
1975,249.8,77.85,300,
1976,126.69,79.88,320,
1977,117.89,81.92,350,
1978,158.32,83.95,380,
1979,181.13,85.99,420,
1980,206.08,88.02,500,
1981,224.24,90.47,580,
1982,199.6,92.91,650,
1983,184.71,95.36,730,
1984,193.44,97.8,820,
1985,222.22,100.25,950,
1986,212.15,102.53,1100,
1987,231.5,104.8,1300,
1988,247.9,107.08,1550,
1989,263.01,109.35,1850,
1990,283.05,111.63,2200,
1991,272.06,113.8,2600,
1992,273.47,115.96,3100,
1993,280.76,118.15,3700,
1994,280.6,120.44,4400,
1995,309.46,123.6,5200,
1996,371.92,125.75,6100,
1997,379.28,128.45,7000,
1998,385.62,131.15,7900,
1999,388.1,133.85,8900,
2000,396.67,136.6,9800,
2001,394.66,138.8,10500,
2002,393.89,141,11200,
2003,426.75,143.2,11900,
2004,455.61,145.4,12600,
2005,480.09,146.4,15000,
2006,490.39,148.2,15800,
2007,537.96,150.1,15700,
2008,613.06,152,17000,
2009,679.21,153.2,18500,
2010,757.39,154.4,20000,
2011,837.34,155.6,22725,
2012,859.68,156.8,24000,
2013,958.26,158.1,25500,
2014,1094.46,159.5,27000,
2015,1224.39,161.2,24112,
2016,1649.28,162.8,30000,
2017,1811.08,164.2,56000,
2018,1965.24,165.4,50000,
2019,2129.8,166.1,47000,
2020,2248.85,166.3,44338,
2021,2482.85,167.66,49151,
2022,2716.49,169.38,49151,
2023,2551.02,171.47,52799,
2024,2593.42,173.56,55000,
2025,2734,176.42,57000,
